message_type, arerror_code, message_summary, message_description
Error,1899,Cannot retrieve starting activ,Cannot retrieve starting active link: activeLinkName.
Error,1900,Error generating application l,Error generating application list field content.
Error,1901,entryPoint is not a valid entr,entryPoint is not a valid entry point.
Error,1902,You have entered an invalid cu,You have entered an invalid currency type.
Error,1903,Function error in active link.,Function error in active link. Please verify number of function arguments and data types.
Error,1904,An error occurred while genera,An error occurred while generating the Crystal report: CrystalReportsError.
Error,1905,numberString - ODBC data sourc,numberString - ODBC data source: source.
Error,1906,errorNumber - CrystalReportsEr,errorNumber - CrystalReportsError.
Error,1907,Error generating navigation ba,Error generating navigation bar field content.
Error,1908,Report to file failed. Ensure ,Report to file failed. Ensure the directory does exist.
Error,1909,Required field (without a defa,Required field (without a default) not specified.
Error,1925,Failed to create the window.,Failed to create the window.
Error,1926,Unable to initialize frame.,Unable to initialize frame.
Error,1930,Login aborted. You cannot clos,Login aborted. You cannot close all windows.
Error,1950,Error loading menu.,Error loading menu.
Error,1951,Failure trying to expand chara,Failure trying to expand character menu.
Error,1952,Unable to load menu.,Unable to load menu.
Error,1953,Error getting group informatio,Error getting group information.
Error,1954,Failure loading group informat,Failure loading group information.
Error,1955,Error creating a menu - menu t,Error creating a menu - menu too large.
Error,1957,Unable to write to file fileNa,Unable to write to file fileName.
Error,1958,Unable to read file fileName.,Unable to read file fileName.
Error,1959,Unable to create work buffer f,Unable to create work buffer for file fileName.
Error,1960,Can not write file fileName to,Can not write file fileName to disk.
Error,1961,You are trying to access a men,You are trying to access a menu with more than numberOfEntries entries - the menu will be truncated.
Error,1962,Error creating menu - out of r,Error creating menu - out of resources.
Error,1963,Unable to load help.,Unable to load help.
Error,1964,Unable to commit changes.,Unable to commit changes.
Error,1965,Functions MAX and MIN are not ,Functions MAX and MIN are not supported in Push Fields actions.
Error,1966,Failed to initialize MAPI mail,Failed to initialize MAPI mail.
Error,1967,Send Mail failed. The message ,Send Mail failed. The message was not sent.
Error,1969,The Crystal report contains an,The Crystal report contains an invalid SQL statement.
Error,1971,Too many columns (fields). Ens,Too many columns (fields). Ensure that all column titles fit into one report line.
Error,1972,The specified directory is not,The specified directory is not valid.
Error,1973,Failed to save file fileName.,Failed to save file fileName.
Error,1975,Report will not be displayed i,Report will not be displayed in specified external program because of the following error: errorType.
Error,1977,The directory cannot be create,The directory cannot be created.
Error,1979,A printer error occurred. Veri,A printer error occurred. Verify the printer setup on your system.
Error,1980,A printer error occurred. The ,A printer error occurred. The default page setup is used.
Error,1986,You have entered an improperly,You have entered an improperly formatted value for a currency field.
Error,2001,Cannot allocate memory.,Cannot allocate memory.
Error,2002,Cannot read the configuration ,Cannot read the configuration file  --  ARHOME environment variable may be set incorrectly.
Error,2003,Cannot connect to the X server,Cannot connect to the X server.
Error,2004,Cannot initialize the AR Syste,Cannot initialize the AR System.
Error,2005,No servers are currently acces,No servers are currently accessible.
Error,2006,Failure while retrieving entri,Failure while retrieving entries from the server directory file.
Error,2009,No servers are specified on th,No servers are specified on the command line or in the AR System directory file.
Error,2100,You have specified a field ID ,You have specified a field ID within the reserved range.
Error,2101,Your filter definition and all,Your filter definition and all associated actions will be deleted.
Error,2102,No structures are in the impor,No structures are in the import file.
Error,2103,Incorrect parameter specificat,Incorrect parameter specification  --  check field name spelling.
Error,2104,You have not saved changes on ,You have not saved changes on this screen -- they will be lost if you continue.
Error,2105,Your administrator command def,Your administrator command definition will be deleted.
Error,2107,Your form definition and all a,Your form definition and all associated data will be deleted.
Error,2109,Your active link definition an,Your active link definition and all associated actions will be deleted.
Error,2135,The selected distributed mappi,The selected distributed mapping will be deleted.
Error,2138,You are attempting to delete a,You are attempting to delete a Distributed Server form or field. Do you wish to continue?
Error,2140,Other forms depend on current ,Other forms depend on current form. Deleting this form will cause forms that depend on it to be deleted. Are you sure you want to continue?
Error,2200,Cannot allocate memory.,Cannot allocate memory.
Error,2202,Only integer type can use nume,Only integer type can use numeric text type.
Error,2203,Only selection type can use ra,Only selection type can use radio buttons
Error,2205,Unrecognized field type. ,Unrecognized field type. 
Error,2214,Cannot open export file. ,Cannot open export file. 
Error,2219,Form definition problem: inval,Form definition problem: invalid field specification.
Error,2220,Button field is missing an Act,Button field is missing an Active Link assignment.
Error,2228,Cannot open configuration file,Cannot open configuration file.
Error,2230,Update of custom operation fai,Update of custom operation failed  --  duplicate name? 
Error,2231,X and/or Y coordinates are out,X and/or Y coordinates are out of range.
Error,2232,Enter a form name.,Enter a form name.
Error,2234,Enter a user name.,Enter a user name.
Error,2236,Problem querying servers.,Problem querying servers.
Error,2241,No selection made  --  one is ,No selection made  --  one is required.
Error,2243,Cannot open the specified file,Cannot open the specified file.
Error,2255,Enter a command name.,Enter a command name.
Error,2257,Enter a command string to exec,Enter a command string to execute.
Error,2269,Select an item.,Select an item.
Error,2279,Problem deleting selected item,Problem deleting selected item from list during cut operation.
Error,2281,No data entered at selected me,No data entered at selected menu level.
Error,2283,You must enter a label before ,You must enter a label before selecting Insert or Modify.
Error,2284,No data entered at previous me,No data entered at previous menu level.
Error,2285,Enter a filter name.,Enter a filter name.
Error,2286,The message number is invalid.,The message number is invalid.
Error,2287,You must select a form.,You must select a form.
Error,2288,You must select at least one o,You must select at least one operation.
Error,2290,Missing close quote on a chara,Missing close quote on a character string/name.
Error,2291,Unexpected character.,Unexpected character.
Error,2292,Expected a conditional operati,Expected a conditional operation at this point. 
Error,2293,Expected a relational operatio,Expected a relational operation at this point.
Error,2294,Expected a field or value at t,Expected a field or value at this point.
Error,2295,Too many nested levels of pare,Too many nested levels of parentheses in command.
Error,2296,Expected a closing parenthesis,Expected a closing parenthesis at this point.
Error,2297,Unknown field reference.,Unknown field reference.
Error,2298,Value specified for selection ,Value specified for selection not one of defined values for this field.
Error,2299,You have entered too many para,You have entered too many parameters in a function assignment.
Error,2300,Format of time value is not re,Format of time value is not recognized.
Error,2301,Specify a directory and filena,Specify a directory and filename.
Error,2304,Enter data.,Enter data.
Error,2305,Selection fields require one o,Selection fields require one or more values.
Error,2306,Error during character menu de,Error during character menu delete operation.
Error,2308,You have created the maximum n,You have created the maximum number of filter actions allowed.
Error,2309,Resulting filename is longer t,Resulting filename is longer than maximum allowed.
Error,2310,Error encountered writing to f,Error encountered writing to file.
Error,2311,You have created the maximum n,You have created the maximum number of active link actions allowed.
Error,2312,You must select a form.,You must select a form.
Error,2313,Enter an active link name.,Enter an active link name.
Error,2314,Select a field for your 'Execu,Select a field for your 'Execute On' condition.
Error,2315,Select an execution condition ,Select an execution condition for your active link.
Error,2317,Unrecognized group in group li,Unrecognized group in group list or group list longer than maximum allowed.
Error,2319,Assign line error at position ,Assign line error at position location.
Error,2320,Qualification line error at po,Qualification line error at position location.
Error,2321,You have entered an improperly,You have entered an improperly formatted value for a real field.
Error,2322,You have entered a non-digit c,You have entered a non-digit character for a numeric field.
Error,2323,Unrecognized arithmetic operat,Unrecognized arithmetic operation.
Error,2324,The internal field length cann,The internal field length cannot be less than zero.
Error,2325,Field IDs below 100 are reserv,Field IDs below 100 are reserved for core fields.
Error,2326,You have specified a field ID ,You have specified a field ID already in use.
Error,2328,You do not have a known server,You do not have a known server specified in your configuration file  --  the tool will default to the first server specified in your directory file.
Error,2329,No administrator macros are de,No administrator macros are defined.
Error,2331,An error has occurred while fo,An error has occurred while formatting your diary text.
Error,2332,One of the field names is inva,One of the field names is invalid.
Error,2334,You must select a form.,You must select a form.
Error,2335,Total width of your fields exc,Total width of your fields exceeds the maximum.
Error,2336,There are no If actions define,There are no If actions defined. Please create at least one If action.
Error,2337,The field ID is too big.,The field ID is too big.
Error,2338,You cannot change type of an e,You cannot change type of an existing action.
Error,2339,Delete failed.,Delete failed.
Error,2340,Too many levels in nested macr,Too many levels in nested macro.
Error,2341,Invalid parameter specificatio,Invalid parameter specification in the DDE assign line.
Error,2342,Invalid macro definition file ,Invalid macro definition file format.
Error,2343,Selection values must be uniqu,Selection values must be unique.
Error,2344,Export errors.,Export errors.
Error,2345,Cannot expand menu menuName fo,Cannot expand menu menuName for field fieldName.
Error,2346,Query menu not expanded.,Query menu not expanded.
Error,2347,Missing button data.,Missing button data.
Error,2348,Field data type and assignment,Field data type and assignment data type are not compatible.
Error,2349,You have entered a value in an,You have entered a value in an integer field which is outside of the valid range for integers.
Error,2350,Duplicate mapping name  --  re,Duplicate mapping name  --  rename your distributed mapping.
Error,2351,Invalid mapping definition  --,Invalid mapping definition  --  respecify your custom mapping.
Error,2352,One of your mapping servers is,One of your mapping servers is not available or does not exist.
Error,2353,You do not have permission to ,You do not have permission to perform Distributed Server operations.
Error,2354,You have not entered data for ,You have not entered data for any of your fields  --  enter data for at least one field before pressing the Apply button.
Error,2355,There is already an Active Lin,There is already an Active Link in this form with this name: activeLinkName.
Error,2356,You have entered a value in an,You have entered a value in an real number field which is outside of the valid range for real numbers.
Error,2357,Get Failed.,Get Failed.
Error,2358,Set Failed.,Set Failed.
Error,2359,DateTime range error - client ,DateTime range error - client only.
Error,2360,DateTime illegal string error ,DateTime illegal string error - client only.
Error,2361,DateTime format error - client,DateTime format error - client only.
Error,2362,Date is out of allowed range o,Date is out of allowed range of 01/01/1970 to 01/19/2038 (GMT) for Windows Client.
Error,2365,The table field tableFieldName,"The table field tableFieldName definition is corrupt. If you Save the form, you will delete this field."
Error,2366,Table field tableFieldName has,Table field tableFieldName has no columns. Add at least one column before you create or modify this table field.
Error,2369,The listed columns for the tab,The listed columns for the tableFieldName table field do not have corresponding data fields.
Error,2370,Form formName on table field t,Form formName on table field tableFieldName does not exist on server serverName.
Error,2371,Enter an application name.,Enter an application name.
Error,2372,Unable to save an image for th,Unable to save an image for the application.
Error,2373,Server serverName for table fi,Server serverName for table field tableFieldName is not accessible at this time.
Error,2374,Duplicate distributed mapping ,Duplicate distributed mapping name.
Error,2380,Page or Page Holder field cann,Page or Page Holder field cannot be set to a NULL Field ID.
Error,2381,Error getting active links lis,Error getting active links list.
Error,2382,Error getting filter list.,Error getting filter list.
Error,2383,Error getting escalation list.,Error getting escalation list.
Error,2392,The application state system f,The application state system form could not be found on the queried server.
Error,2393,The application roles system f,The application roles system form could not be found on the queried server.
Error,2394,The application roles system f,The application roles system form did not contain any state fields.
Error,2395,An entry in the state table co,An entry in the state table could not be found for this application.
Error,2396,Could not query the applicatio,Could not query the application state table.
Error,2401,Unknown error code errorNumber,Unknown error code errorNumber encountered.
Error,2403,Unable to initialize user info,Unable to initialize user information.
Error,2404,Unable to connect to any serve,Unable to connect to any servers.
Error,2405, Failed to initialize the syst, Failed to initialize the system globals.
Error,2408,The user home directory is mis,The user home directory is missing from the ARuser section in the win.ini file.
Error,2412,Currently running MISCDLL.DLL ,Currently running MISCDLL.DLL version oldVersionNumber is an old version. Version currentVersionNumber of MISCDLL.DLL is required.
Error,2416,Failed to create memory.,Failed to create memory.
Error,2417,Failed to create the AR System,Failed to create the AR System home directory.
Error,2418, User Name is missing., User Name is missing.
Error,2419,AR System home directory is mi,AR System home directory is missing.
Error,2420,At least one field must have a,At least one field must have a value in a Set Fields action.
Error,2421,You cannot delete an object th,You cannot delete an object that you are currently editing.
Error,2422,Failed to load the selected im,Failed to load the selected image file.
Error,2423,You must specify a menu or but,You must specify a menu or button field for active links that execute on a menu or button.
Error,2426,Server serverName not found in,Server serverName not found in server list.
Error,2427,The following fields do not ha,The following fields do not have valid values set: 
Error,2428,Specify an SQL command.,Specify an SQL command.
Error,2431,Could not remove all the speci,Could not remove all the specified pending operations.
Error,2432,Supply a label index (greater ,Supply a label index (greater than 0).
Error,2433,Supply a value index (greater ,Supply a value index (greater than 0).
Error,2434,Supply an SQL command.,Supply an SQL command.
Error,2435,Button field is missing an act,Button field is missing an active link assignment.
Error,2437,Cannot read forms for server.,Cannot read forms for server.
Error,2438,You have selected more fields ,"You have selected more fields than will fit in the clipboard. Select fewer fields, and try again."
Error,2439,The following field cannot be ,The following field cannot be displayed in this view because it contains invalid properties. Remove it from this view by using the Fields In View dialog box.
Error,2440,Insufficient resources to crea,Insufficient resources to create the palette.
Error,2441,Another view already exists wi,Another view already exists with that name.
Error,2442,You must specify the hours or ,You must specify the hours or minutes (or both) to retry a distributed operation.
Error,2443,Get list of fields operation f,Get list of fields operation failed.
Error,2444,value is not a valid value for,value is not a valid value for field fieldName. Values set to newValue.
Error,2445,Note that value is outside the,Note that value is outside the range for field fieldName. 
Error,2446,You must enter a distributed m,You must enter a distributed mapping name. 
Error,2447,You must enter an escalation n,You must enter an escalation name. 
Error,2448,The current custom mapping is ,The current custom mapping is not valid. Unable to display unmapped fields.
Error,2449,A value must be entered for th,"A value must be entered for the following fields: Request ID, Form, and Server."
Error,2450,The field can contain double q,"The field can contain double quotation marks (') or single quotation marks ('), but it cannot contain both kinds of quotation marks."
Error,2454,A maximum of 1985 items can be,"A maximum of 1985 items can be exported at once. Select a fewer number of items, and try the operation again."
Error,2455,The width of a results list fi,The width of a results list field and its separator combined is limited to 128 characters.
Error,2458,You must have at least one fie,You must have at least one field with a value in a push field action.
Error,2459,This is a special object param,This is a special object parameter in which you can only add another method which returns the same object.
Error,2460,This is a special parameter in,This is a special parameter in which you can only add another method which returns this object type.
Error,2461,Please select a matching funct,Please select a matching function. Looks like the return type of the method selected and the method to be added are incompatible.
Error,2462,Please select a matching funct,Please select a matching function.
Error,2463,The two pointer types do not m,The two pointer types do not match. Please select another one.
Error,2464,You cannot call another method,You cannot call another method on the parent method. The Parent return type is not an Object.
Error,2465,Please select a method that re,Please select a method that returns a pointer.
Error,2466,You cannot add a method here. ,You cannot add a method here. Type incompatible.
Error,2467,Cannot add the method. Incompa,Cannot add the method. Incompatible objects. Try again.
Error,2468,The Constants and properties a,The Constants and properties are for display only. Cannot be inserted by clicking the Add Method button.
Error,2469,The Parameter or Return value ,The Parameter or Return value is of wrong type. Please type in a proper value.
Error,2470,Please select a method to dele,Please select a method to delete.
Error,2471,Can delete only methods at the,Can delete only methods at the root level.
Error,2472,You can't add methods to a ret,You can't add methods to a return value.
Error,2473,A label must be unique and con,A label must be unique and consist of one or more characters.
Error,2474,You have entered an improperly,You have entered an improperly formatted value for a decimal field.
Error,2475,Please enter a server name.,Please enter a server name.
Error,2476,Cannot edit return value. Righ,Cannot edit return value. Right-click to select a Field.
Error,2477,You cannot have duplicate name,You cannot have duplicate named predefined searches. Please give the entry a unique name.
Error,2478,Enter a packing list name.,Enter a packing list name.
Error,2479,No work space has been selecte,No work space has been selected.
Error,2480,There is already another view ,"There is already another view with the same label, platform, and locale combination."
Error,2481,Please enter a non-empty strin,Please enter a non-empty string in label and name fields.
Error,2482,An unspecified error occurred.,An unspecified error occurred.
Error,2483,The file fileName could not be,The file fileName could not be located.
Error,2484,Bad Path: directoryPath.,Bad Path: directoryPath.
Error,2485,The permitted number of open f,The permitted number of open files was exceeded.
Error,2486,You do not have the proper per,You do not have the proper permissions to access the file fileName.
Error,2487,There was an attempt to use an,There was an attempt to use an invalid file handle.
Error,2488,The current working directory ,The current working directory cannot be removed.
Error,2489,The number of directory entrie,The number of directory entries for directory directoryPath has been exceeded.
Error,2490,There was an error trying to s,There was an error trying to set the file pointer.
Error,2491,There was a hardware error.,There was a hardware error.
Error,2492,Attempted access to file fileN,Attempted access to file fileName produced a sharing violation.
Error,2493,There was an attempt to lock a,There was an attempt to lock a region that was already locked.
Error,2494,The disk is full.,The disk is full.
Error,2495,The end of file was reached.,The end of file was reached.
Error,2502,Warning: If you change the for,"Warning: If you change the form, existing actions might be made invalid. Verify your existing actions."
Error,2506," Unable to open more windows, "," Unable to open more windows, because Windows resources are low. User Heap: percentage% free. GDI Heap: percentage% free. Close some windows or running applications to gain more space."
Error,2507,The value being deleted is the,"The value being deleted is the same as the default value. If you continue, the default value will also be deleted. Do you want to continue?"
Error,2508,The status field must have a d,The status field must have a default value. If you continue the default value will be changed to the first entry. Do you want to continue?
Error,2510,You cannot add or modify the D,You cannot add or modify the Default Login name. Changes are lost.
Error,2513,Login aborted. You cannot clos,Login aborted. You cannot close all windows.
Error,2514,Character menus cannot exceed ,Character menus cannot exceed 14 levels.
Error,2515,Failed to read field for form.,Failed to read field for form.
Error,2516,The minimum and maximum values,The minimum and maximum values are the same.
Error,2517,Save the form before renaming ,Save the form before renaming it.
Error,2518,The minimum value is out of ra,The minimum value is out of range. The range is -2147483647 to 2147483647.
Error,2519,The maximum value is out of ra,The maximum value is out of range. The range is -2147483647 to 2147483647.
Error,2520,The default value is out of ra,The default value is out of range. The range is -2147483647 to 2147483647.
Error,2521,The minimum value is out of ra,The minimum value is out of range. The range is number to number.
Error,2522,The maximum value is out of ra,The maximum value is out of range. The range is number to number.
Error,2523,The default value is out of ra,The default value is out of range. The range is number to number.
Error,2524,The precision is out of bounds,The precision is out of bounds. Valid range is 0 to 30.
Error,2525,This change will move the fiel,This change will move the field out of bounds.
Error,2526,This change will cause the fie,This change will cause the field to be out of bounds.
Error,2552,The minimum value has a bad va,The minimum value has a bad value.
Error,2553,The maximum value has a bad va,The maximum value has a bad value.
Error,2555,The precision is out of bounds,The precision is out of bounds. Valid range is 0 to 28.
Error,2706,Unable to realloc memory.,Unable to realloc memory.
Error,2707,Unable to malloc memory.,Unable to malloc memory.
Error,2709,The maximum number of fields t,The maximum number of fields that can be specified in one index is numberOfFields.
Error,2710,You have reached the maximum l,You have reached the maximum limit of the fields in an index.
Error,2711,One or more indexes does not h,One or more indexes does not have any fields specified.
Error,2713,Unable to realloc memory.,Unable to realloc memory.
Error,2714,Unable to malloc memory.,Unable to malloc memory.
Error,2716,Please supply a menu name.,Please supply a menu name.
Error,2717,Please select a menu type.,Please select a menu type.
Error,2718,Please select a refresh code.,Please select a refresh code.
Error,2719,Please supply a server name.,Please supply a server name.
Error,2720,Please supply a form name.,Please supply a form name.
Error,2721,Please supply a label field.,Please supply a label field.
Error,2722,Please supply a value field.,Please supply a value field.
Error,2723,Please select a file location.,Please select a file location.
Error,2724,Please supply a file name.,Please supply a file name.
Error,2725,Menu definition is empty.,Menu definition is empty.
Error,2726,You cannot delete the followin,You cannot delete the following core field(s): 
Error,2727,Must be greater than 9999 and ,Must be greater than 9999 and less than 2147483647.
Error,2728,Missing message text.,Missing message text.
Error,2729,Missing field name.,Missing field name.
Error,2730,DDE 'Service Name' is missing.,DDE 'Service Name' is missing.
Error,2731,DDE 'Topic' is missing.,DDE 'Topic' is missing.
Error,2732,DDE 'Item' is missing.,DDE 'Item' is missing.
Error,2733,DDE 'Path' is missing.,DDE 'Path' is missing.
Error,2734,DDE 'Command' is missing.,DDE 'Command' is missing.
Error,2735,The minimum value is greater t,The minimum value is greater than the maximum value.
Error,2736,The Default value is out of ra,The Default value is out of range with the minimum and/or maximum value. The default value: 
Error,2737,The search database has been s,The search database has been synchronized successfully.
Error,2738,Synchronization of the Search ,Synchronization of the Search Database Failed. Try again.
Error,2739,Server object objectName canno,Server object objectName cannot be opened from here. Please open it from the Server Window.
Error,2740,Macro name is missing.,Macro name is missing.
Error,2741,The named menu is not defined ,"The named menu is not defined at this time, do you wish to continue?"
Error,2742,Unable to Save/Update Form.,Unable to Save/Update Form.
Error,2743,The Default value is out of ra,The Default value is out of range with the minimum and/or maximum value. The minimum value minimumValue and the maximum value maximumValue.
Error,2744,The Default value is out of ra,The Default value is out of range with the minimum and/or maximum value. The minimum value minimumValue and the maximum value maximumValue.
Error,2745,Do you wish to close the field,Do you wish to close the field property dialog before correcting the errors?
Error,2746,The field length must be betwe,The field length must be between 0 and 4294967295.
Error,2747,Invalid View Name. You must se,Invalid View Name. You must select a defined name.
Error,2748,Alert text is missing.,Alert text is missing.
Error,2749,User text is missing.,User text is missing.
Error,2750,Reference Field is missing.,Reference Field is missing.
Error,2751,"Sorry, unable to locate your d","Sorry, unable to locate your default browser. Feel free to visit our website for the latest information about BMC Remedy products and services at http://www.bmc.com."
Error,2753,Unable to log on to any server,Unable to log on to any server as administrator or sub-administrator.
Error,2754,Please enter Qualification que,Please enter Qualification query for this action.
Error,2755,Qualification line error at po,Qualification line error at position number.
Error,2757,Error Getting Font Data.,Error Getting Font Data.
Error,2759,Error getting form list on ser,Error getting form list on server serverName.
Error,2760,Error getting active links lis,Error getting active links list on form formName.
Error,2761,Error getting filter list.,Error getting filter list.
Error,2762,Error getting escalation list.,Error getting escalation list.
Error,2765,Server serverName not found in,Server serverName not found in list of servers.
Error,2766,Form formName not found in lis,Form formName not found in list of forms.
Error,2768,Warning: Some fields that are ,Warning: Some fields that are mapped will not be relevant for this form.
Error,2770,Error: No server has been sele,Error: No server has been selected.
Error,2771,Error: No form has been select,Error: No form has been selected.
Error,2772,Warning: No field mappings hav,Warning: No field mappings have been defined for Open and Close dialog states.
Error,2773,Assign line error at position ,Assign line error at position number.
Error,2776,You will lose your existing gu,You will lose your existing guideName assignments by changing the form. Do you want to continue?
Error,2777,Error in export! Export aborte,Error in export! Export aborted.
Error,2778,Error: No guide selected for C,Error: No guide selected for CallGuide action.
Error,2779,Error: Addition of guide guide,Error: Addition of guide guideName addition to tree failed.
Error,2781,Error: No Active Link specifie,Error: No Active Link specified for guide to go to.
Error,2782,The Default value has a bad va,The Default value has a bad value.
Error,2783,Error getting field list on fo,Error getting field list on form formName.
Error,2784,Failed to analyze field fieldN,Failed to analyze field fieldName in form formName.
Error,2785,Failed to analyze escalation e,Failed to analyze escalation escalationName in form formName.
Error,2786,Failed to analyze filter filte,Failed to analyze filter filterName in form formName.
Error,2787,Error opening file fileName.,Error opening file fileName.
Error,2788,Could not detect image type of,Could not detect image type of imageType.
Error,2789,Errors were found. Please chec,Errors were found. Please check the tab order to make sure that all shared fields are in the same order relative to each other.
Error,2791,Unable to open file.,Unable to open file.
Error,2793,Error getting application list,Error getting application list.
Error,2794,User userName does not have ad,User userName does not have admin or subadmin privileges on server serverName. Connecting as a guest user.
Error,2797,Failed to get related items. E,Failed to get related items. Export file will not be generated.
Error,2805,Unable to refresh field detail,Unable to refresh field detail for field fieldName in form formName on server serverName. Any further operation on this form can cause unpredictable behavior.
Error,2807,Error: The Active Link activeL,Error: The Active Link activeLinkName could not find the View viewName in Form formName. The View will return to default.
Error,2808,Please select a Source Control,Please select a Source Control Provider.
Error,2809,Please select a Source Control,Please select a Source Control Project.
Error,2810,Object already exists in Sourc,Object already exists in Source Control.
Error,2811,Error getting definition file ,Error getting definition file for object.
Error,2812,Object does not exist in Sourc,Object does not exist in Source Control.
Error,2813,Are you sure you want to remov,"Are you sure you want to remove the selected objects from Source Control, as you will lose history data along with them?"
Error,2814,Object is checked out by userN,Object is checked out by userName.
Error,2815,Error writing Registry values.,Error writing Registry values.
Error,2816,You are in Enforced mode of th,You are in Enforced mode of the Source Control Integration. You cannot modify this object because it does not exist in Source Control.
Error,2817,You are in Enforced mode of th,You are in Enforced mode of the Source Control Integration. You cannot modify this object because it is already checked out to another user.
Error,2818,You are in Enforced mode of th,You are in Enforced mode of the Source Control Integration. You cannot modify this object because you did not check it out first.
Error,2819,You are in Enforced mode of th,You are in Enforced mode of the Source Control Integration. You cannot modify this object. The server is configured for Source Control but you have not integrated it on your client.
Error,2820,You are in Advisory mode of th,"You are in Advisory mode of the Source Control Integration. Your Integration is not initialized, so modifying an object could overwrite or conflict with someone else's work."
Error,2821,You are in Advisory mode of th,You are in Advisory mode of the Source Control Integration. Modifying an object could overwrite or conflict with someone else's work because it does not exist in Source Control.
Error,2822,You are in Advisory mode of th,You are in Advisory mode of the Source Control Integration. Modifying an object could overwrite or conflict with someone else's work because it is already checked out to another user.
Error,2823,You are in Advisory mode of th,You are in Advisory mode of the Source Control Integration. Modifying an object could overwrite or conflict with someone else's work because you did not check it out first.
Error,2824,Please enter a definition file,Please enter a definition file name.
Error,2825,Please relogin to this server ,Please relogin to this server for the changes made to Source Control Integration to take effect.
Error,2826,Source Control operations can ,Source Control operations can not be performed on Groups.
Error,2827,Source Control operations can ,Source Control operations can not be performed on Distributed Mappings.
Error,2828,Error opening Source Control p,Error opening Source Control project.
Error,2829,You are in Enforced mode of th,You are in Enforced mode of the Source Control Integration. You cannot import this object because it is already checked out to another user.
Error,2830,Error updating Source Control ,Error updating Source Control database.
Error,2831,Error getting file from Source,Error getting file from Source Control database.
Error,2832,The object you are importing h,The object you are importing has been checked out to someone else. Import to server anyway?
Error,2833,Error importing some objects.,Error importing some objects.
Error,2834,Object is not checked out.,Object is not checked out.
Error,2835,Do you wish to continue?,Do you wish to continue?
Error,2836,You are in Enforced mode of th,You are in Enforced mode of the Source Control Integration. You cannot modify the selected objects. The server is configured for Source Control but you have not integrated it on your client.
Error,2839,Min value should be less than ,Min value should be less than Max value.
Error,2840,Min and Max value should be gr,Min and Max value should be greater than 0.
Error,2842,The Form name has not changed.,The Form name has not changed. Please specify a new name.
Error,2843,The specified file does not ex,The specified file does not exist. Do you want to create it?
Error,2844,Error creating the file.,Error creating the file.
Error,2845,The specified file already exi,The specified file already exists. Do you want to overwrite it?
Error,2846,Invalid refresh state returned,Invalid refresh state returned.
Error,2848,The number of rows exceeded th,The number of rows exceeded the maximum allowed limit of 230.
Error,2849,Please enter a comment. Develo,Please enter a comment. Developer comments are required for this operation.
Error,2850,No matches found in the databa,No matches found in the database for the given query.
Error,2851,Please select a source code co,Please select a source code control provider.
Error,2861,Duplicate distributed pool nam,Duplicate distributed pool name.
Error,2862,Source Control operations cann,Source Control operations cannot be performed on Distributed Pools.
Error,2863,Missing target location text.,Missing target location text.
Error,2864,Error: No sample server has be,Error: No sample server has been selected.
Error,2865,Error: No sample form has been,Error: No sample form has been selected.
Error,2866,Error: No view has been select,Error: No view has been selected.
Error,2867,Some items failed to import.,Some items failed to import.
Error,2868,Warning: No field mappings hav,Warning: No field mappings have been defined.
Error,2871,File already exists in the cur,File already exists in the current directory.
Error,2872,Cannot delete root element.,Cannot delete root element.
Error,2873,Please select an item before c,Please select an item before creating the directory.
Error,2874,Cannot add file. Directory dep,Cannot add file. Directory depth exceeds the maximum allowed limit.
Error,2876,Could not create the directory,Could not create the directory.
Error,2878,Alias values must be unique.,Alias values must be unique.
Error,2879,Modifying Packing List may res,Modifying Packing List may result in loss of data.
Error,2880,Web view is created but not in,Web view is created but not initialized! Please initialize the web view by opening and saving the web view.
Error,2881,Error in converting to Open Wi,Error in converting to Open Window action.
Error,2882,Error in converting to Run Pro,Error in converting to Run Process (Preferences) action.
Error,2883,Error in converting a macro co,Error in converting a macro command.
Error,2884,Error in converting to Run Pro,Error in converting to Run Process action.
Error,2885,Error in converting modify to ,Error in converting modify to Push Fields action.
Error,2886,Number of resultant actions ex,"Number of resultant actions exceeded the maximum; the active link will not be saved. To enable successful conversion, please decompose the active link into multiple active links and try again."
Error,2887,New Action cannot be inserted.,New Action cannot be inserted.
Error,2888,Succeeded.,Succeeded.
Error,2889,Server is referred by a keywor,Server is referred by a keyword or field ID. Server name should be currently available to process QBE type of queries.
Error,2890,Could not connect to QBE refer,Could not connect to QBE referred server. Server name should be currently available to process QBE type of queries.
Error,2891,Could not load the form specif,Could not load the form specified by QBE. Form name should be currently available to process QBE type of queries.
Error,2892,Failed to convert QBE into equ,Failed to convert QBE into equivalent qualifier structure.
Error,2894,At least one macro command is ,At least one macro command is not supported.
Error,2895,Conversion Complete.,Conversion Complete.
Error,2896,Alias should start with an Eng,Alias should start with an English alphabet.
Error,2897,Alias must contain alphanumeri,Alias must contain alphanumeric characters only.
Error,2898,There is already another view ,"There is already another view with the same alias, platform, and locale combination."
Error,2899,You must first specify a serve,You must first specify a server.
Error,2901,No key field specified. Please,No key field specified. Please specify a key field for this form.
Error,2902,No table name specified. Pleas,No table name specified. Please specify a table name for this form.
Error,2903,No vendor name specified. Plea,No vendor name specified. Please specify a vendor name for this form.
Error,2904,Please enter field type.,Please enter field type.
Error,2906,Please select object type.,Please select object type.
